"Var Name","Var Class","Mean","Median","Min","Max","SD","Obs","Missing obs"
"Control: Fuels","dummy","0.413","0","0","1","0.492","1838","0%"
"Control: Income","dummy","0.571","1","0","1","0.495","2542","0%"
"Form: Reduced","dummy","0.415","0","0","1","0.493","1848","0%"
"Form: Structural","dummy","0.526","1","0","1","0.499","2338","0%"
"Model: Dynamic","dummy","0.686","1","0","1","0.464","3052","0%"
"Lag: Dependent","float","0.406","0","0","1","0.491","1804","0%"
"Lag: Other","float","0.091","0","0","1","0.288","406","0%"
"Model: Static","dummy","0.311","0","0","1","0.463","1382","0%"
"Model: Random-effects","dummy","0.011","0","0","1","0.103","48","0%"
"Model: Fixed effects","dummy","0.091","0","0","1","0.288","405","0%"
"Model: Vector AR","dummy","0.007","0","0","1","0.082","30","0%"
"Model: Auto Regressive DL","dummy","0.078","0","0","1","0.268","345","0%"
"Model: Error-correction","dummy","0.049","0","0","1","0.215","217","0%"
"Model: Vector Error-correction","dummy","0.019","0","0","1","0.137","85","0%"
"Model: Demand system","dummy","0.102","0","0","1","0.302","452","0%"
"Model: Demand system model","dummy","0.007","0","0","1","0.08","29","0%"
"Model: Lagged endogenous","dummy","0.23","0","0","1","0.421","1025","0%"
"Model: Other model","dummy","0.02","0","0","1","0.142","91","0%"
"Model: Non available","dummy","0.387","0","0","1","0.487","1723","0%"
"Estimation: Maximum likelihood","dummy","0.053","0","0","1","0.224","235","0%"
"Estimation: Generalized MM","dummy","0.04","0","0","1","0.195","176","0%"
"Estimation: Error component","dummy","0.025","0","0","1","0.156","111","0%"
"Estimation: OLS","dummy","0.364","0","0","1","0.481","1620","0%"
"Estimation: GLS","dummy","0.049","0","0","1","0.215","216","0%"
"Estimation: SUR","dummy","0.118","0","0","1","0.323","525","0%"
"Estimation: 2SLS","dummy","0.099","0","0","1","0.299","440","0%"
"Estimation: 3SLS","dummy","0.025","0","0","1","0.157","112","0%"
"Estimation: IV approach","dummy","0.079","0","0","1","0.269","350","0%"
"Estimation: other","dummy","0.023","0","0","1","0.15","103","0%"
"Function: Linear","dummy","0.187","0","0","1","0.39","831","0%"
"Function: Semi-log","dummy","0.038","0","0","1","0.192","171","0%"
"Function: Double-log","dummy","0.554","1","0","1","0.497","2462","0%"
"Function: BoxCox","dummy","0.004","0","0","1","0.06","16","0%"
"Journal Impact Factor","float","0.182","0.061","0","3.124","0.426","4238","0%"
"Transformed number of citations","float","1.372","0.937","0.014","4.304","0.976","4448","0%"
